cliente_id,idade,genero,regiao,tipo_contrato,metodo_pagamento,plano_assinatura,valor_mensal,tempo_assinatura_meses,dias_ultimo_acesso,acessibilidade,contatos_suporte,visualizacoes_mes,tempo_medio_sessao_min,dispositivo_principal,categoria_favorita,avaliacao_conteudo_media,avaliacao_conteudo_ultimo_mes,avaliacao_plataforma,churn
29,30,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,0,0,0,2,26,123,Tablet,Documentários,,"3,0","4,5",0
30,34,Masculino,Sudeste,Mensal,Pix,Básico,24.9,11,75,0,5,0,26,mobile,Filmes,,,,1
31,30,Feminino,Centro-Oeste,Anual,Crédito Recorrente,Premium,38.0,17,25,0,1,5,68,mobile,Filmes,"4,0",,"3,0",0
32,62,Não Informar,Nordeste,Mensal,Crédito Recorrente,Básico,24.9,0,0,0,2,67,25,tv,Séries,,,,0
33,37,Feminino,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,1,18,0,3,23,93,Tablet,Filmes,,"3,5","4,5",0
34,24,Não Informar,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,3,45,0,1,0,41,tv,Séries,"2,0",,"5,0",1
35,48,Não Informar,Sul,Anual,Crédito Recorrente,Premium,38.0,1,24,0,0,13,104,Tablet,Filmes,,,"3,0",0
36,22,Feminino,Sudeste,Mensal,Débito,Básico,24.9,21,8,0,0,89,124,tv,Séries,"4,0",,"1,0",0
37,40,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,9,19,0,0,71,45,mobile,Documentários,"4,0","3,5",,0
38,18,Masculino,Centro-Oeste,Mensal,Débito Automático,Padrão,38.0,19,7,0,1,52,96,Desktop,Novelas,"4,0","5,0","3,5",0
39,20,Masculino,Sul,Anual,Crédito Recorrente,Básico,22.0,11,28,0,0,17,78,TV,Filmes,"4,0",,"5,0",0
40,40,,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,26,39,0,0,0,35,TV,Filmes,"4,0",,"3,0",0
41,47,Feminino,Sudeste,Mensal,Débito,Básico,24.9,1,13,0,2,37,71,TV,Infantil,,"3,5","1,0",0
42,40,Masculino,Nordeste,Mensal,Crédito Recorrente,Básico,24.9,13,19,0,2,17,24,Desktop,Filmes,"2,0","2,5","1,0",1
43,36,,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,15,12,0,1,13,70,Mobile,Séries,,,"4,0",0
44,34,Feminino,Sudeste,Mensal,Crédito Recorrente,Premium,49.9,12,16,0,0,77,42,TV,Séries,,,"2,5",0
45,18,Masculino,Sudeste,Anual,Crédito Recorrente,Básico,22.0,5,38,0,0,0,143,Desktop,Filmes,"4,5",,"3,5",0
46,28,Masculino,Sudeste,Mensal,Pix,Básico,24.9,1,13,0,4,55,72,tv,Filmes,,"5,0","3,5",0
47,32,Masculino,Sul,Mensal,Boleto,Padrão,38.0,8,12,1,0,24,63,Tablet,Esportes,"5,0",,"3,0",0
48,51,Masculino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,3,33,0,0,0,51,TV,Infantil,"4,0",,"4,5",0
49,42,Masculino,Nordeste,Mensal,Crédito Recorrente,Básico,24.9,1,22,0,2,4,16,TV,Documentários,,"2,0",,1
50,18,Feminino,Norte,Anual,Crédito Recorrente,Premium,38.0,4,12,0,1,112,94,TV,Documentários,,"3,0","2,5",0
51,42,Feminino,Centro-Oeste,Mensal,Crédito Recorrente,Básico,24.9,17,50,1,1,0,13,Mobile,Esportes,"2,0",,,1
52,32,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,6,38,0,1,0,122,Mobile,Documentários,,,"2,0",0
53,29,,Sudeste,Mensal,Pix,Básico,24.9,3,27,0,2,16,39,TV,Esportes,"4,0",,"1,5",0
54,45,Não Informar,Sul,Mensal,Crédito Recorrente,Básico,24.9,3,22,0,0,14,36,TV,Infantil,"4,5","5,0",,0
55,51,Feminino,Sudeste,Mensal,Débito Automático,Básico,24.9,15,34,0,3,0,17,mobile,Filmes,"1,5",,"1,0",1
56,50,Masculino,Norte,Mensal,Crédito Recorrente,Básico,24.9,8,30,0,3,15,84,TV,Filmes,"4,0","4,5","5,0",0
57,27,Não Informar,Norte,Mensal,Crédito Recorrente,Básico,24.9,5,9,0,0,68,108,Mobile,Filmes,,,"3,0",0
58,33,Masculino,Centro-Oeste,Mensal,Crédito Recorrente,Padrão,38.0,19,15,0,1,77,28,Desktop,Esportes,"1,0",,"2,0",0
59,42,Feminino,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,1,24,1,1,15,144,mobile,Séries,,,"1,5",0
60,50,Masculino,Sul,Mensal,Pix,Padrão,38.0,15,33,0,0,0,5,Mobile,Documentários,,,"4,0",1
61,31,Feminino,Nordeste,Anual,Crédito Recorrente,Padrão,32.0,32,34,0,0,0,22,Tablet,Filmes,"2,5",,"4,5",1
62,35,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,14,12,0,1,69,66,mobile,Filmes,"4,0","3,0","1,0",0
63,23,Masculino,Centro-Oeste,Mensal,Boleto,Básico,24.9,25,13,0,3,67,157,Desktop,Filmes,"4,0","4,5",,0
64,22,Feminino,Sudeste,Mensal,Débito,Padrão,38.0,2,40,0,0,0,88,mobile,Esportes,"4,0",,"3,0",0
65,48,Feminino,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,10,11,0,1,21,128,Mobile,Séries,"1,0",,,0
66,55,Feminino,Centro-Oeste,Mensal,Pix,Premium,49.9,4,29,0,0,2,24,TV,Esportes,,,"4,5",1
67,37,Masculino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,6,85,0,1,0,31,Tablet,Filmes,"2,0",,"4,0",1
68,51,Feminino,Sul,Mensal,Débito,Básico,24.9,12,10,0,2,57,53,Desktop,Infantil,"2,5","4,5","5,0",0
69,42,Masculino,Centro-Oeste,Anual,Crédito Recorrente,Padrão,32.0,2,3,0,0,30,64,mobile,Esportes,"2,0","3,5","4,5",0
70,29,Masculino,Norte,Mensal,Crédito Recorrente,Premium,49.9,19,35,1,0,0,72,mobile,Infantil,"4,0",,"1,0",0
71,42,Feminino,Nordeste,Anual,Crédito Recorrente,Premium,38.0,5,30,0,2,2,13,Mobile,Filmes,,"2,5","5,0",1
72,57,Não Informar,Centro-Oeste,Anual,Crédito Recorrente,Premium,38.0,8,75,0,1,0,5,Mobile,Séries,,,"4,5",1
73,37,Feminino,Centro-Oeste,Mensal,Boleto,Padrão,38.0,12,71,0,1,0,18,mobile,Infantil,"2,0",,"2,5",1
74,58,Feminino,Norte,Mensal,Débito Automático,Básico,24.9,11,4,0,1,54,106,tv,Filmes,"3,5",,"3,5",0
75,18,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,21,13,0,1,62,100,tv,Novelas,,,,0
76,48,Feminino,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,2,3,0,0,32,128,Mobile,Filmes,"4,0","5,0",,0
77,39,Masculino,Sul,Mensal,Pix,Básico,24.9,10,17,0,3,17,106,TV,Séries,"4,0","5,0",,0
78,34,Feminino,Sudeste,Mensal,Débito,Básico,24.9,9,33,0,2,0,22,tv,Filmes,"1,5",,"2,0",1
79,39,Não Informar,Sul,Mensal,Cartão de Crédito,Básico,24.9,5,14,0,1,74,97,Desktop,Filmes,"3,5",,"4,0",0
80,18,Masculino,Sul,Mensal,Débito,Padrão,38.0,8,10,0,1,100,122,mobile,Filmes,,"4,0","1,0",0
81,35,,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,26,61,0,1,0,56,Mobile,Filmes,"2,5",,,1
82,42,,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,48,39,0,2,0,5,Desktop,Filmes,"2,0",,,1
83,57,,Sul,Mensal,Crédito Recorrente,Básico,24.9,5,12,0,1,67,60,mobile,Filmes,"4,0","5,0","4,0",0
84,31,Feminino,Centro-Oeste,Mensal,Débito,Básico,24.9,9,58,0,2,0,32,TV,Filmes,"2,5",,,1
85,27,Masculino,Sudeste,Mensal,Pix,Básico,24.9,2,18,0,2,7,5,Tablet,Filmes,"2,0",,"2,0",1
86,31,Feminino,Sul,Anual,Crédito Recorrente,Premium,38.0,13,39,0,1,0,87,TV,Filmes,"2,5",,"4,0",0
87,49,Não Informar,Nordeste,Mensal,Crédito Recorrente,Premium,49.9,26,2,0,0,65,40,Tablet,Séries,"4,0",,,0
88,42,Masculino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,41,14,0,1,57,87,Mobile,Filmes,"4,0",,"1,5",0
89,31,Masculino,Sudeste,Mensal,Pix,Padrão,38.0,7,22,0,1,14,110,Tablet,Documentários,,"5,0","3,5",0
90,44,Masculino,Nordeste,Mensal,Crédito Recorrente,Básico,24.9,32,33,1,2,0,144,Mobile,Séries,,,"3,0",0
91,39,Masculino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,0,1,0,1,52,169,tv,Novelas,,"4,0","4,5",0
92,50,Não Informar,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,21,33,0,1,0,10,tv,Séries,"2,0",,"3,0",1
93,28,Feminino,Centro-Oeste,Mensal,Crédito Recorrente,Básico,24.9,9,14,0,2,16,43,tv,Filmes,"2,5",,"3,0",1
94,33,Masculino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,48,8,0,1,58,63,TV,Documentários,"3,5","5,0","4,0",0
95,32,Feminino,Norte,Mensal,Boleto,Básico,24.9,4,18,0,3,12,32,Tablet,Infantil,"3,5","1,0",,1
96,18,Não Informar,Sudeste,Anual,Crédito Recorrente,Premium,38.0,1,19,0,0,25,81,mobile,Séries,,"4,5","4,5",0
97,41,Masculino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,13,31,0,2,0,105,tv,Esportes,"4,0",,"4,5",0
98,41,Masculino,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,7,71,0,0,0,40,Mobile,Séries,"2,0",,"4,5",1
99,38,Masculino,Sudeste,Mensal,Boleto,Básico,24.9,10,23,0,2,3,42,Tablet,Séries,"2,0","1,5","3,5",1
100,34,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,1,25,0,2,10,104,mobile,Filmes,,"3,0","2,0",0
101,19,Masculino,Centro-Oeste,Mensal,Crédito Recorrente,Premium,49.9,20,35,0,2,0,115,tv,Documentários,"4,0",,"4,0",0
102,32,Masculino,Nordeste,Anual,Crédito Recorrente,Básico,22.0,3,10,0,2,79,141,TV,Infantil,,"3,0","4,0",0
103,33,Não Informar,Sudeste,Mensal,Débito,Básico,24.9,3,13,0,1,52,123,tv,Séries,,"4,0","1,5",0
104,27,Masculino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,4,62,0,1,0,124,Desktop,Documentários,"5,0",,"1,0",0
105,35,Masculino,Sul,Mensal,Cartão de Crédito,Padrão,38.0,2,40,0,2,0,5,tv,Documentários,"3,5",,"2,5",1
106,43,,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,6,46,0,1,0,30,TV,Filmes,"2,0",,"4,5",1
107,62,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,1,5,0,3,72,85,TV,Documentários,,"4,5","2,0",0
108,40,Masculino,Sul,Anual,Crédito Recorrente,Premium,38.0,2,26,0,2,12,127,Desktop,Novelas,,,"3,5",0
109,41,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,9,23,0,2,14,60,tv,Filmes,,,"4,0",0
110,37,,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,6,16,0,3,67,74,Desktop,Séries,"4,5",,"3,5",0
111,18,Masculino,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,2,29,0,3,3,48,TV,Séries,"2,0","2,0","3,5",1
112,37,Feminino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,3,22,0,3,1,14,mobile,Novelas,"1,5",,,1
113,38,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,13,21,0,1,6,74,TV,Séries,,"4,5",,0
114,70,Masculino,Nordeste,Anual,Crédito Recorrente,Premium,38.0,12,29,1,3,10,40,tv,Esportes,"4,0","3,0","1,0",0
115,35,Masculino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,2,42,0,0,0,20,Desktop,Novelas,"2,0",,"5,0",1
116,41,Feminino,Nordeste,Anual,Crédito Recorrente,Padrão,32.0,1,24,0,1,12,64,Desktop,Séries,,"4,5","5,0",0
117,37,Feminino,Sul,Anual,Crédito Recorrente,Padrão,32.0,6,23,0,0,9,93,TV,Esportes,"4,0","4,0","4,0",0
118,22,Masculino,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,4,8,0,1,66,125,TV,Filmes,"4,0",,"2,0",0
119,52,Masculino,Sudeste,Mensal,Boleto,Padrão,38.0,3,37,0,1,0,15,Tablet,Séries,"1,5",,"2,5",1
120,47,Masculino,Norte,Mensal,Pix,Padrão,38.0,17,32,0,1,0,151,Tablet,Séries,,,,0
121,48,,Sudeste,Anual,Crédito Recorrente,Básico,22.0,5,21,0,2,19,97,tv,Esportes,"4,0",,,0
122,26,Feminino,Sul,Anual,Crédito Recorrente,Padrão,32.0,3,45,0,1,0,139,Mobile,Filmes,"5,0",,"5,0",0
123,56,Masculino,Sul,Anual,Crédito Recorrente,Padrão,32.0,2,23,0,1,9,135,Mobile,Séries,"3,0",,"4,0",0
124,19,,Sul,Mensal,Cartão de Crédito,Padrão,38.0,17,13,0,2,16,79,Mobile,Infantil,"1,5",,"2,5",0
125,45,,Centro-Oeste,Mensal,Crédito Recorrente,Padrão,38.0,0,0,0,2,13,5,tv,Séries,,,"1,5",1
126,66,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,4,28,0,3,15,126,tv,Documentários,"4,0","5,0","1,0",0
127,25,Masculino,Sul,Mensal,Crédito Recorrente,Básico,24.9,19,45,0,1,0,5,mobile,Novelas,,,"4,0",1
128,30,Masculino,Sul,Mensal,Crédito Recorrente,Básico,24.9,48,26,0,3,1,5,TV,Séries,"2,0","1,5",,1
129,39,Masculino,Sudeste,Mensal,Crédito Recorrente,Premium,49.9,0,0,1,2,43,53,Desktop,Séries,,,"3,0",0
130,31,Masculino,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,8,37,0,2,0,212,tv,Documentários,"4,5",,"2,0",0
131,18,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,20,27,0,1,13,51,Mobile,Séries,"3,5",,"1,5",0
132,38,Masculino,Sul,Mensal,Débito,Básico,24.9,8,26,0,0,17,26,TV,Infantil,"4,0","4,5","1,0",0
133,24,Masculino,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,24,10,0,4,38,18,Desktop,Séries,,,"4,5",0
134,44,,Nordeste,Anual,Crédito Recorrente,Padrão,32.0,15,9,0,4,104,78,Desktop,Filmes,,"4,0","4,5",0
135,26,Feminino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,13,53,0,1,0,94,Mobile,Séries,"5,0",,"2,0",0
136,58,Feminino,Sul,Mensal,Crédito Recorrente,Premium,49.9,0,1,0,0,46,48,Mobile,Filmes,,,,0
137,27,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,6,34,0,0,0,109,Desktop,Esportes,"4,5",,"1,0",0
138,33,Feminino,Sudeste,Mensal,Crédito Recorrente,Padrão,38.0,2,40,0,0,0,26,Tablet,Filmes,,,"3,5",1
139,48,,Sudeste,Mensal,Pix,Básico,24.9,21,29,0,2,8,92,Tablet,Séries,,"5,0","5,0",0
140,21,Masculino,Nordeste,Mensal,Crédito Recorrente,Padrão,38.0,18,20,0,0,60,170,mobile,Esportes,,,"2,5",0
141,40,Outros,Sul,Anual,Crédito Recorrente,Padrão,32.0,2,8,0,3,36,148,Tablet,Filmes,"5,0","4,0","1,5",0
142,54,Não Informar,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,1,12,0,1,60,88,mobile,Infantil,,"4,5","2,5",0
143,18,Feminino,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,11,26,0,1,17,42,TV,Filmes,"5,0","4,5","5,0",0
144,40,Feminino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,8,17,0,0,89,127,Mobile,Séries,"4,0","4,0",,0
145,41,Masculino,Sudeste,Mensal,Boleto,Premium,49.9,27,82,0,1,0,24,Desktop,Esportes,"1,5",,"4,0",1
146,48,Feminino,Nordeste,Mensal,Débito,Padrão,38.0,9,29,0,0,0,11,Desktop,Esportes,"1,5",,"1,5",1
147,21,Outros,Sudeste,Anual,Crédito Recorrente,Premium,38.0,3,27,0,2,2,104,Tablet,Filmes,"4,0","5,0","4,0",0
148,20,Masculino,Sudeste,Mensal,Pix,Básico,24.9,0,1,0,0,65,48,TV,Infantil,,,"5,0",0
149,44,Masculino,Sul,Mensal,Débito Automático,Básico,24.9,24,6,0,1,63,49,Tablet,Documentários,"4,0","4,5","5,0",0
150,41,Outros,Centro-Oeste,Anual,Crédito Recorrente,Premium,38.0,34,20,0,0,45,112,TV,Esportes,"3,5",,"3,0",0
151,41,,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,5,19,0,1,46,34,Desktop,Filmes,"4,0",,"1,0",0
152,42,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,9,30,0,1,16,81,TV,Filmes,"3,5","3,0",,0
153,29,,Norte,Mensal,Pix,Básico,24.9,8,43,1,0,0,28,tv,Documentários,"2,0",,"5,0",1
154,41,,Sul,Anual,Crédito Recorrente,Padrão,32.0,9,15,0,0,47,36,mobile,Esportes,"4,0",,"4,5",0
155,41,Masculino,Sudeste,Mensal,Pix,Básico,24.9,21,47,0,2,0,13,Tablet,Filmes,"2,0",,"5,0",1
156,28,Não Informar,Sudeste,Anual,Crédito Recorrente,Padrão,32.0,37,60,0,1,0,111,tv,Séries,"3,5",,"4,5",0
157,62,Não Informar,Sul,Mensal,Crédito Recorrente,Básico,24.9,5,16,0,1,81,30,TV,Esportes,"4,0",,"4,5",0
158,44,Feminino,Sudeste,Mensal,Boleto,Básico,24.9,7,73,0,0,0,34,tv,Esportes,,,"2,5",1
159,22,Feminino,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,2,6,0,1,55,14,Mobile,Esportes,,"3,0","2,0",0
160,46,,Sul,Anual,Crédito Recorrente,Básico,22.0,34,50,0,0,0,71,tv,Documentários,"4,0",,"4,5",0
161,25,Masculino,Nordeste,Mensal,Pix,Básico,24.9,2,14,0,0,104,99,Mobile,Esportes,,"4,5","1,5",0
162,48,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,48,36,0,0,0,178,Tablet,Infantil,"4,0",,"2,5",0
163,53,,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,15,17,0,2,55,98,Tablet,Novelas,"4,0",,,0
164,27,Masculino,Centro-Oeste,Anual,Crédito Recorrente,Premium,38.0,2,31,0,0,0,113,mobile,Filmes,"3,0",,"1,0",0
165,50,Outros,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,9,9,0,1,33,41,Desktop,Filmes,"4,0",,,0
166,43,Masculino,Sudeste,Mensal,Cartão de Crédito,Padrão,38.0,5,40,0,1,0,51,Tablet,Séries,"2,0",,"2,0",1
167,48,Não Informar,Norte,Mensal,Débito,Básico,24.9,8,30,0,2,3,9,tv,Documentários,"2,0","2,0","3,0",1
168,62,Feminino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,5,15,0,0,56,167,tv,Filmes,"4,0","4,0","5,0",0
169,34,Feminino,Centro-Oeste,Mensal,Crédito Recorrente,Básico,24.9,17,1,0,5,64,109,mobile,Novelas,"3,5","5,0","1,0",0
170,28,Outros,Nordeste,Anual,Crédito Recorrente,Premium,38.0,43,21,0,0,21,94,mobile,Séries,,"3,0",,0
171,26,Feminino,Sul,Anual,Crédito Recorrente,Premium,38.0,4,24,0,0,14,64,mobile,Esportes,,,"3,5",0
172,27,Masculino,Nordeste,Mensal,Débito Automático,Padrão,38.0,0,0,0,2,78,110,tv,Séries,,,"4,5",0
173,36,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,1,6,0,2,33,62,mobile,Filmes,,,"5,0",0
174,42,Masculino,Nordeste,Mensal,Débito,Padrão,38.0,19,37,0,2,0,56,mobile,Filmes,"2,0",,"3,5",1
175,41,Masculino,Nordeste,Anual,Crédito Recorrente,Padrão,32.0,5,84,0,1,0,145,tv,Documentários,,,,0
176,48,Masculino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,2,37,0,1,0,112,Mobile,Filmes,"4,0",,"1,0",0
177,38,Não Informar,Sul,Mensal,Débito,Básico,24.9,28,8,0,5,80,67,tv,Filmes,,,"2,5",0
178,56,Feminino,Centro-Oeste,Mensal,Crédito Recorrente,Padrão,38.0,1,27,0,0,5,137,Desktop,Séries,,"4,0","1,5",0
179,34,Feminino,Norte,Mensal,Crédito Recorrente,Básico,24.9,26,18,0,1,70,104,Desktop,Filmes,"4,5",,"3,0",0
180,73,Feminino,Norte,Anual,Crédito Recorrente,Padrão,32.0,15,24,0,0,16,121,tv,Documentários,,,,0
181,46,Masculino,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,0,1,0,2,34,59,tv,Infantil,,"3,0","2,5",0
182,26,Masculino,Sudeste,Anual,Crédito Recorrente,Básico,22.0,13,38,0,1,0,72,Mobile,Filmes,"2,5",,,0
183,24,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,7,49,0,1,0,124,mobile,Séries,"4,0",,"1,5",0
184,44,Feminino,Nordeste,Anual,Crédito Recorrente,Premium,38.0,8,19,0,1,82,91,TV,Filmes,,"3,5","1,0",0
185,35,Masculino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,2,22,0,3,4,29,Desktop,Filmes,,,"2,5",1
186,47,,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,13,12,0,2,60,73,TV,Filmes,,,"1,5",0
187,44,Feminino,Centro-Oeste,Mensal,Débito,Básico,24.9,7,41,0,1,0,51,TV,Séries,"3,0",,,1
188,37,Não Informar,Nordeste,Mensal,Pix,Básico,24.9,0,0,1,0,46,27,TV,Esportes,,,"1,5",0
189,26,Feminino,Sudeste,Anual,Crédito Recorrente,Premium,38.0,33,13,0,0,89,119,TV,Esportes,,"4,0","1,0",0
190,18,Masculino,Nordeste,Mensal,Cartão de Crédito,Premium,49.9,5,56,0,2,0,20,TV,Séries,"2,0",,"2,5",1
191,32,Masculino,Sudeste,Mensal,Crédito Recorrente,Básico,24.9,4,51,0,2,0,20,TV,Séries,"2,0",,"1,0",1
192,49,Masculino,Sudeste,Mensal,Débito,Básico,24.9,5,11,0,0,33,174,TV,Séries,"5,0","5,0","1,0",0
193,40,,Nordeste,Mensal,Boleto,Básico,24.9,29,7,0,0,12,40,Mobile,Esportes,,"2,0","5,0",1
194,21,,Nordeste,Mensal,Cartão de Crédito,Básico,24.9,33,18,0,1,13,40,Desktop,Documentários,"2,0","2,5",,1
195,40,Não Informar,Sudeste,Anual,Crédito Recorrente,Básico,22.0,25,43,0,2,0,29,Tablet,Esportes,"2,0",,,1
196,43,Masculino,Norte,Mensal,Cartão de Crédito,Básico,24.9,9,16,0,1,72,37,Tablet,Esportes,"4,0","5,0","3,5",0
197,26,Masculino,Sudeste,Mensal,Cartão de Crédito,Básico,24.9,4,12,0,2,14,23,mobile,Filmes,"2,0","2,5","2,0",1
198,39,Masculino,Nordeste,Mensal,Débito Automático,Básico,24.9,7,11,0,2,109,57,tv,Infantil,"4,0",,"4,5",0
199,38,Masculino,Centro-Oeste,Mensal,Crédito Recorrente,Básico,24.9,39,12,1,3,81,53,Desktop,Filmes,"3,5","3,5",,0
